Sr No,PG Name,Address,Contact No,Map Link
35,Girl's PG,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/LATTHE+EDUCATION+SOCIETY,SANGLI./@16.8628243,74.5357685,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc119d9ec026f4f:0x516369fdfb0e183f!8m2!3d16.8628243!4d74.5718174!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblRVUm5iVXBwUzNSblJSQULgAQD6AQQIABAr!16s%2Fg%2F11x0jgtzdl?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
36,Girl's PG,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/Bharati+Vidyapeeth+IMRDA+%26+New+Law+College/@16.8628243,74.5357685,14z/data=!3m1!5s0x3bc1184161b72b7f:0x82586b4e4c446d27!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11840eee1f28d:0x8832d1792810f1f1!8m2!3d16.861082!4d74.5650629!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEHY29sbGVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGRXTlVjRlZCRUFF4AEA-gEECDIQPA!16s%2Fg%2F1pyqqt_jt?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
37,Bharati Vidyapeeth IMRDA & New Law College,"
Bharati Bhavan, Rajwada Chowk, Ganapati Peth, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
0233 237 7256","https://www.google.com/maps/place/Bharati+Vidyapeeth+IMRDA+%26+New+Law+College/@16.8628243,74.5357685,14z/data=!3m1!5s0x3bc1184161b72b7f:0x82586b4e4c446d27!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11840eee1f28d:0x8832d1792810f1f1!8m2!3d16.861082!4d74.5650629!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEHY29sbGVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGRXTlVjRlZCRUFF4AEA-gEECDIQPA!16s%2Fg%2F1pyqqt_jt?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
38,P. G. Babar Agency,"
1726, Panchamukhi Maruti Rd, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
090287 94644","https://www.google.com/maps/place/P.+G.+Babar+Agency/@16.8628243,74.5357685,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11869de4aa9b5:0xf95893cee4bbc876!8m2!3d16.8557326!4d74.5707756!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgENZ2VuZXJhbF9zdG9yZeABAA!16s%2Fg%2F11dzsxlr80?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
39,Makarand Boys Hostel,"
RHVR+P4G, Padmavathi Colony, Dattanagar, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/Makarand+Boys+Hostel/@16.8443176,74.5542867,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11975d82d06f3:0x9bce0de3125e333d!8m2!3d16.8443176!4d74.5903356!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11h4cyv3ng?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
40,Makarand Boys Hostel,"
RHVR+P4G, Padmavathi Colony, Dattanagar, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/Makarand+Boys+Hostel/@16.8443176,74.5542867,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11975d82d06f3:0x9bce0de3125e333d!8m2!3d16.8443176!4d74.5903356!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11h4cyv3ng?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
41,P.G. Ayurvedic,"
Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
098506 38550","https://www.google.com/maps/place/P.G.+Ayurvedic/@16.8443176,74.5542867,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11878b729c3db:0xc8a614d30bf19adb!8m2!3d16.8481397!4d74.5920481!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSASFhbHRlcm5hdGl2ZV9tZWRpY2luZV9wcmFjdGl0aW9uZXLgAQA!16s%2Fg%2F11g8crs7_g?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
42,P.G. Ayurvedic,"
Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
098506 38550","https://www.google.com/maps/place/P.G.+Ayurvedic/@16.8443176,74.5542867,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11878b729c3db:0xc8a614d30bf19adb!8m2!3d16.8481397!4d74.5920481!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSASFhbHRlcm5hdGl2ZV9tZWRpY2luZV9wcmFjdGl0aW9uZXLgAQA!16s%2Fg%2F11g8crs7_g?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
43,P.G. Ayurvedic,"
Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
098506 38550","https://www.google.com/maps/place/Hotel+Central+Avenue/@16.8424384,74.5773629,14z/data=!4m13!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m9!1s0x3bc12373226d23a9:0x33b0a1cd7eb99861!5m2!4m1!1i2!8m2!3d16.8424384!4d74.6134118!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEFbG9kZ2XgAQA!16s%2Fg%2F11n03j5jnv?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
44,P.G. Ayurvedic,"
Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
098506 38550","https://www.google.com/maps/place/Hotel+Central+Avenue/@16.8424384,74.5773629,14z/data=!4m13!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m9!1s0x3bc12373226d23a9:0x33b0a1cd7eb99861!5m2!4m1!1i2!8m2!3d16.8424384!4d74.6134118!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEFbG9kZ2XgAQA!16s%2Fg%2F11n03j5jnv?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
